date,open,high,low,close,volume
1/4/96,20490,20700,20420,20600,
1/5/96,20520,20740,20510,20700,
1/8/96,20640,20700,20560,20640,
1/9/96,20640,20700,20480,20700,
1/10/96,20450,20750,20450,20640,
1/11/96,20500,20530,20320,20480,
1/12/96,20570,20600,20250,20290,
1/16/96,20390,20620,20370,20580,
1/17/96,20760,20830,20620,20630,
1/18/96,20550,20580,20370,20370,
1/19/96,20460,20470,20190,20430,
1/22/96,20420,20430,20150,20270,
2/19/96,20780,20840,20700,20840,
2/20/96,20490,20740,20490,20680,
2/21/96,20590,20640,20320,20370,
2/22/96,20460,20470,20370,20410,
2/23/96,20530,20550,20270,20330,
2/26/96,20370,20550,20350,20550,
2/27/96,20340,20360,19980,20010,
2/28/96,20120,20210,19890,19910,
2/29/96,20030,20120,19910,20070,
3/1/96,20010,20230,19930,20160,
3/4/96,20160,20240,20110,20170,
3/5/96,20190,20330,20180,20260,
3/6/96,20190,20330,19980,20270,
3/7/96,20110,20120,19910,20040,
3/8/96,19910,20220,19830,20180,
3/11/96,19910,20000,19740,19760,
3/12/96,19940,20030,19890,19930,
3/13/96,19870,19910,19600,19760,
3/14/96,19790,19940,19730,19940,
3/15/96,20050,20310,20050,20200,
3/18/96,20320,20400,20250,20390,
3/19/96,20570,20680,20530,20560,
3/28/96,21350,21510,21250,21300,
3/29/96,21330,21570,21310,21470,
4/1/96,21600,21870,21600,21650,
4/3/96,21750,21830,21410,21510,
4/4/96,21540,21670,21490,21670,
4/5/96,21640,21830,21610,21820,
4/8/96,21640,21660,21430,21480,
4/9/96,21660,21900,21640,21880,
4/10/96,21840,21950,21790,21840,
4/11/96,21730,21820,21670,21740,
4/12/96,21740,21880,21630,21780,
4/15/96,21930,21980,21880,21930,
4/16/96,22020,22150,21960,22000,
4/17/96,22000,22070,21910,21910,
4/18/96,21790,21920,21750,21860,
4/19/96,21780,21970,21720,21940,
4/22/96,21990,22240,21980,22240,
4/23/96,22260,22310,22140,22280,
4/24/96,22300,22400,22270,22320,
4/25/96,22320,22400,22230,22250,
4/26/96,22270,22390,22230,22290,
4/30/96,22020,22160,21990,22020,
5/1/96,22090,22130,21780,21790,
5/2/96,21770,21800,21510,21640,
5/7/96,21590,21590,21450,21530,
5/8/96,21500,21710,21450,21680,
5/9/96,21720,21740,21300,21300,
5/10/96,21400,21500,21330,21490,
5/13/96,21510,21550,21190,21190,
5/14/96,21250,21370,21190,21270,
5/15/96,21620,22110,21600,22070,
5/16/96,22250,22310,22200,22200,
